Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      6.36     0.00    30002     0.00     0.00  std::_Function_base::_Base_manager<void cl::sycl::handler::parallel_for_impl<cl::sycl::detail::computeCppMagicEmptyKernel, cl::sycl::detail::computeCppMagicKernel(cl::sycl::queue&)::{lambda(cl::sycl::handler&)#1}::operator()(cl::sycl::handler&) const::{lambda(cl::sycl::item<1, true>)#1}, 1>(cl::sycl::detail::index_array const&, cl::sycl::detail::index_array, cl::sycl::detail::computeCppMagicKernel(cl::sycl::queue&)::{lambda(cl::sycl::handler&)#1}::operator()(cl::sycl::handler&) const::{lambda(cl::sycl::item<1, true>)#1})::{lambda(cl::sycl::detail::item_base&)#1}>::_M_manager(std::_Any_data&, {lambda(cl::sycl::detail::item_base&)#1} const&, std::_Manager_operation)
  0.00      6.36     0.00    30001     0.00     0.00  char* std::vector<char, std::allocator<char> >::_M_data_ptr<char>(char*) const
  0.00      6.36     0.00    30001     0.00     0.00  std::_Vector_base<cl::sycl::memory_order, std::allocator<cl::sycl::memory_order> >::_Vector_impl_data::_Vector_impl_data()
  0.00      6.36     0.00    30001     0.00     0.00  std::allocator_traits<std::allocator<cl::sycl::device> >::deallocate(std::allocator<cl::sycl::device>&, cl::sycl::device*, unsigned long)
  0.00      6.36     0.00    30001     0.00     0.00  std::vector<int, std::allocator<int> >::_M_default_initialize(unsigned long)
  0.00      6.36     0.00    30000     0.00     0.00  std::_Vector_base<cl::sycl::memory_order, std::allocator<cl::sycl::memory_order> >::_Vector_impl::~_Vector_impl()
  0.00      6.36     0.00    30000     0.00     0.00  _ZSt10make_tupleIJN2cl4sycl6detail14reduction_implILb0EjLi1ESt4plusIjEEEZZ4mainENKUlRNS1_7handlerEE_clES8_EUlNS1_7nd_itemILi1EEERT_E_EESt5tupleIJDpNSt17__decay_and_stripIT_E6__typeEEEDpOSH_
  0.00      6.36     0.00    30000     0.00     0.00  __gnu_cxx::__normal_iterator<cl::sycl::memory_order*, std::vector<cl::sycl::memory_order, std::allocator<cl::sycl::memory_order> > > std::copy<__gnu_cxx::__normal_iterator<cl::sycl::memory_order const*, std::vector<cl::sycl::memory_order, std::allocator<cl::sycl::memory_order> > >, __gnu_cxx::__normal_iterator<cl::sycl::memory_order*, std::vector<cl::sycl::memory_order, std::allocator<cl::sycl::memory_order> > > >(__gnu_cxx::__normal_iterator<cl::sycl::memory_order const*, std::vector<cl::sycl::memory_order, std::allocator<cl::sycl::memory_order> > >, __gnu_cxx::__normal_iterator<cl::sycl::memory_order const*, std::vector<cl::sycl::memory_order, std::allocator<cl::sycl::memory_order> > >, __gnu_cxx::__normal_iterator<cl::sycl::memory_order*, std::vector<cl::sycl::memory_order, std::allocator<cl::sycl::memory_order> > >)
  0.00      6.36     0.00    30000     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<cl::sycl::memory_order*, std::vector<cl::sycl::memory_order, std::allocator<cl::sycl::memory_order> > >, cl::sycl::memory_order>(__gnu_cxx::__normal_iterator<cl::sycl::memory_order*, std::vector<cl::sycl::memory_order, std::allocator<cl::sycl::memory_order> > >, __gnu_cxx::__normal_iterator<cl::sycl::memory_order*, std::vector<cl::sycl::memory_order, std::allocator<cl::sycl::memory_order> > >, std::allocator<cl::sycl::memory_order>&)
  0.00      6.36     0.00    15020     0.00     0.00  _ZN2cl4sycl7handler12parallel_forI21TotientReductionLocalIiELi1EJNS0_6detail14reduction_implILb0EjLi1ESt4plusIjEEEZZ4mainENKUlRS1_E_clESA_EUlNS0_7nd_itemILi1EEERT_E_EEEvRKNS0_8nd_rangeIXT0_EEEDpT1_
  0.00      6.36     0.00    15009     0.00     5.33  std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> > cl::sycl::detail::device_capability_intersection<(cl::sycl::info::device)89, std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> > >(cl::sycl::context const*, std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> >)
  0.00      6.36     0.00    15006     0.00     0.00  _ZN2cl4sycl6detail28get_reduction_kernel_atomicsILb1ELi1EZZ4mainENKUlRNS0_7handlerEE_clES4_EUlNS0_7nd_itemILi1EEERT_E_NS1_14reduction_implILb0EjLi1ESt4plusIjEEEEEDaS4_T1_T2_RKNS0_5rangeIXT0_EEERKNS0_8nd_rangeIXT0_EEE
  0.00      6.36     0.00    15005     0.00     0.00  _ZZN2cl4sycl6detail28get_reduction_kernel_atomicsILb1ELi1EZZ4mainENKUlRNS0_7handlerEE_clES4_EUlNS0_7nd_itemILi1EEERT_E_NS1_14reduction_implILb0EjLi1ESt4plusIjEEEEEDaS4_T1_T2_RKNS0_5rangeIXT0_EEERKNS0_8nd_rangeIXT0_EEEENUlS7_E_D2Ev
  0.00      6.36     0.00    15003     0.00     0.00  std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> > cl::sycl::get_sycl_info<cl::sycl::info::device, std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> >, unsigned long, 4196u, 18446744073709551615ul>(cl::sycl::opencl_info_base<cl::sycl::info::device>::cl_object const&, bool)
  0.00      6.36     0.00    15002     0.00     0.00  _ZZZ4mainENKUlRN2cl4sycl7handlerEE_clES2_ENKUlNS0_7nd_itemILi1EEERT_E_clINS0_7reducerIjSt4plusIjEEEEEDaS5_S7_
  0.00      6.36     0.00    15000     0.00     0.00  std::vector<cl::sycl::memory_order, std::allocator<cl::sycl::memory_order> > cl::sycl::get_sycl_info<cl::sycl::info::device, std::vector<cl::sycl::memory_order, std::allocator<cl::sycl::memory_order> >, unsigned long, 4195u, 18446744073709551615ul>(cl::sycl::opencl_info_base<cl::sycl::info::device>::cl_object const&, bool)
  0.00      6.36     0.00    15000     0.00     0.00  cl::sycl::detail::reduction_impl<false, unsigned int, 1, std::plus<unsigned int> >::get_user_storage()
  0.00      6.36     0.00    15000     0.00     0.00  _ZN2cl4sycl6detail14reduction_loopILb1ENS0_7reducerIjSt4plusIjEEEKZZ4mainENKUlRNS0_7handlerEE_clES8_EUlNS0_7nd_itemILi1EEERT_E_Li1EEEvRKNS0_5rangeIXT2_EEERT0_RKSB_RT1_
  0.00      6.36     0.00    15000     0.00     0.00  cl::sycl::detail::accessor_buffer_interface<int, 1, (cl::sycl::access::mode)2, (cl::sycl::access::target)1, (cl::sycl::access::placeholder)0>::~accessor_buffer_interface()
  0.00      6.36     0.00    15000     0.00     0.00  cl::sycl::accessor<int, 1, (cl::sycl::access::mode)2, (cl::sycl::access::target)1, (cl::sycl::access::placeholder)0>::~accessor()
  0.00      6.36     0.00    15000     0.00     0.00  cl::sycl::accessor<unsigned int, 1, (cl::sycl::access::mode)2, (cl::sycl::access::target)1, (cl::sycl::access::placeholder)0>::accessor(cl::sycl::accessor<unsigned int, 1, (cl::sycl::access::mode)2, (cl::sycl::access::target)1, (cl::sycl::access::placeholder)0> const&)
  0.00      6.36     0.00    15000     0.00     0.00  cl::sycl::detail::nd_range_base::get_group_range() const
  0.00      6.36     0.00    15000     0.00     0.00  int* std::vector<int, std::allocator<int> >::_M_data_ptr<int>(int*) const
  0.00      6.36     0.00    15000     0.00     0.00  std::shared_ptr<cl::sycl::detail::queue>::~shared_ptr()
  0.00      6.36     0.00    15000     0.00     0.00  _ZSt4moveIRSt5tupleIJN2cl4sycl6detail14reduction_implILb0EjLi1ESt4plusIjEEEZZ4mainENKUlRNS2_7handlerEE_clES9_EUlNS2_7nd_itemILi1EEERT_E_EEEONSt16remove_referenceISD_E4typeEOSD_
  0.00      6.36     0.00       19     0.00     0.00  std::type_info::operator==(std::type_info const&) const
  0.00      6.36     0.00       18     0.00     0.03  cl::sycl::amd_selector::amd_selector()
  0.00      6.36     0.00       18     0.00     0.00  cl::sycl::program cl::sycl::program::create_program_for_kernel<TotientReductionLocal<int> >(cl::sycl::context)
  0.00      6.36     0.00       17     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      6.36     0.00       16     0.00     0.00  void cl::sycl::group_barrier<cl::sycl::group<1> >(cl::sycl::group<1>, cl::sycl::memory_scope)
  0.00      6.36     0.00       12     0.00     0.00  cl::sycl::buffer<unsigned int, 1, cl::sycl::detail::aligned_mem::aligned_allocator>::buffer(unsigned int*, cl::sycl::range<1> const&, cl::sycl::property_list const&)
  0.00      6.36     0.00        9     0.00     0.00  cl::sycl::nd_range<1>::get_local_range() const
  0.00      6.36     0.00        9     0.00     0.00  _ZZN2cl4sycl6detail28get_reduction_kernel_atomicsILb1ELi1EZZ4mainENKUlRNS0_7handlerEE_clES4_EUlNS0_7nd_itemILi1EEERT_E_NS1_14reduction_implILb0EjLi1ESt4plusIjEEEEEDaS4_T1_T2_RKNS0_5rangeIXT0_EEERKNS0_8nd_rangeIXT0_EEEENUlS7_E_C2EOSP_
  0.00      6.36     0.00        8     0.00     0.00  std::vector<cl::sycl::memory_order, std::allocator<cl::sycl::memory_order> >::_M_check_len(unsigned long, char const*) const
  0.00      6.36     0.00        8     0.00     0.00  void std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> >::_M_realloc_insert<cl::sycl::memory_scope>(__gnu_cxx::__normal_iterator<cl::sycl::memory_scope*, std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> > >, cl::sycl::memory_scope&&)
  0.00      6.36     0.00        7     0.00     0.00  cl::sycl::info_convert<unsigned long*, std::vector<cl::sycl::memory_order, std::allocator<cl::sycl::memory_order> > >::cl_to_sycl(unsigned long*, unsigned long, unsigned int)
  0.00      6.36     0.00        7     0.00     0.00  __gnu_cxx::__normal_iterator<cl::sycl::device*, std::vector<cl::sycl::device, std::allocator<cl::sycl::device> > >::__normal_iterator(cl::sycl::device* const&)
  0.00      6.36     0.00        7     0.00     0.00  _ZNSt11_Tuple_implILm0EJN2cl4sycl6detail14reduction_implILb0EjLi1ESt4plusIjEEEZZ4mainENKUlRNS1_7handlerEE_clES8_EUlNS1_7nd_itemILi1EEERT_E_EEC2EOSF_
  0.00      6.36     0.00        7     0.00     0.00  _ZNSt14_Function_base13_Base_managerIZN2cl4sycl6detail28get_reduction_kernel_atomicsILb1ELi1EZZ4mainENKUlRNS2_7handlerEE_clES6_EUlNS2_7nd_itemILi1EEERT_E_NS3_14reduction_implILb0EjLi1ESt4plusIjEEEEEDaS6_T1_T2_RKNS2_5rangeIXT0_EEERKNS2_8nd_rangeIXT0_EEEEUlS9_E_E10_M_destroyERSt9_Any_dataSt17integral_constantIbLb0EE
  0.00      6.36     0.00        7     0.00     0.00  register_tm_clones
  0.00      6.36     0.00        6     0.00     5.32  cl::sycl::queue::queue(cl::sycl::property_list const&)
  0.00      6.36     0.00        6     0.00     0.89  cl::sycl::buffer<int, 1, cl::sycl::detail::aligned_mem::aligned_allocator>::buffer(int*, cl::sycl::range<1> const&, cl::sycl::property_list const&)
  0.00      6.36     0.00        6     0.00     0.00  unsigned long cl::sycl::detail::construct_linear_row_major_index<1>(cl::sycl::id<1> const&, cl::sycl::range<1> const&)
  0.00      6.36     0.00        6     0.00     0.00  std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> > cl::sycl::detail::device_capability_intersection<(cl::sycl::info::device)88, std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> > >(cl::sycl::context const*, std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> >)
  0.00      6.36     0.00        6     0.00     0.00  std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> >::_M_check_len(unsigned long, char const*) const
  0.00      6.36     0.00        6     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      6.36     0.00        6     0.00     0.08  operator new(unsigned long, void*)
  0.00      6.36     0.00        5     0.00     0.53  cl::sycl::info_convert<unsigned long*, std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> > >::cl_to_sycl(unsigned long*, unsigned long, unsigned int)
  0.00      6.36     0.00        5     0.00     0.00  cl::sycl::local_accessor<unsigned int, 1>::local_accessor(cl::sycl::local_accessor<unsigned int, 1> const&)
  0.00      6.36     0.00        5     0.00     0.00  cl::sycl::accessor<int, 1, (cl::sycl::access::mode)2, (cl::sycl::access::target)3, (cl::sycl::access::placeholder)0>::accessor(cl::sycl::range<1>, cl::sycl::handler&, cl::sycl::property_list const&)
  0.00      6.36     0.00        5     0.00     5.32  cl::sycl::accessor<unsigned int, 1, (cl::sycl::access::mode)2, (cl::sycl::access::target)3, (cl::sycl::access::placeholder)0>::accessor(cl::sycl::accessor<unsigned int, 1, (cl::sycl::access::mode)2, (cl::sycl::access::target)3, (cl::sycl::access::placeholder)0> const&)
  0.00      6.36     0.00        5     0.00     0.00  cl::sycl::buffer<int, 1, cl::sycl::detail::aligned_mem::aligned_allocator>::get_range() const
  0.00      6.36     0.00        5     0.00     5.32  cl::sycl::nd_range<1>::get_group_range() const
  0.00      6.36     0.00        5     0.00     0.00  _ZNSt14_Function_base13_Base_managerIZN2cl4sycl6detail28get_reduction_kernel_atomicsILb1ELi1EZZ4mainENKUlRNS2_7handlerEE_clES6_EUlNS2_7nd_itemILi1EEERT_E_NS3_14reduction_implILb0EjLi1ESt4plusIjEEEEEDaS6_T1_T2_RKNS2_5rangeIXT0_EEERKNS2_8nd_rangeIXT0_EEEEUlS9_E_E15_M_init_functorERSt9_Any_dataOSR_
  0.00      6.36     0.00        5     0.00     0.00  _ZNSt8functionIFvRN2cl4sycl6detail12nd_item_baseEEEC1IZNS2_28get_reduction_kernel_atomicsILb1ELi1EZZ4mainENKUlRNS1_7handlerEE_clESA_EUlNS1_7nd_itemILi1EEERT_E_NS2_14reduction_implILb0EjLi1ESt4plusIjEEEEEDaSA_T1_T2_RKNS1_5rangeIXT0_EEERKNS1_8nd_rangeIXT0_EEEEUlSD_E_vvEESE_
  0.00      6.36     0.00        5     0.00     0.00  cl::sycl::memory_order* std::__uninitialized_copy_a<cl::sycl::memory_order*, cl::sycl::memory_order*, cl::sycl::memory_order>(cl::sycl::memory_order*, cl::sycl::memory_order*, cl::sycl::memory_order*, std::allocator<cl::sycl::memory_order>&)
  0.00      6.36     0.00        4     0.00     0.00  _GLOBAL__sub_I__Z3hcfjj
  0.00      6.36     0.00        4     0.00     0.00  cl::sycl::intel_selector::intel_selector()
  0.00      6.36     0.00        4     0.00     0.00  cl::sycl::local_accessor<int, 1>::~local_accessor()
  0.00      6.36     0.00        4     0.00     0.00  cl::sycl::detail::reduction_impl<false, unsigned int, 1, std::plus<unsigned int> >::get_out_pointer(cl::sycl::accessor<unsigned int, 1, (cl::sycl::access::mode)2, (cl::sycl::access::target)1, (cl::sycl::access::placeholder)0>)
  0.00      6.36     0.00        4     0.00     0.00  cl::sycl::detail::accessor_buffer_interface<unsigned int, 1, (cl::sycl::access::mode)2, (cl::sycl::access::target)3, (cl::sycl::access::placeholder)0>::accessor_buffer_interface(cl::sycl::detail::accessor_buffer_interface<unsigned int, 1, (cl::sycl::access::mode)2, (cl::sycl::access::target)3, (cl::sycl::access::placeholder)0> const&)
  0.00      6.36     0.00        4     0.00     0.00  _ZN2cl4sycl6detailL15get_handler_tagIZNS0_5queue6memsetEPvimRKSt6vectorINS0_5eventESaIS6_EEEUlRNS0_7handlerEE_EEDTcmclfp_cl7declvalISC_EEEtlNS1_20standard_handler_tagEEET_NS1_14handler_choiceILj0EEE
  0.00      6.36     0.00        4     0.00     0.00  cl::sycl::nd_item<1>::get_group_range() const
  0.00      6.36     0.00        4     0.00     0.00  cl::sycl::nd_range<1>::get_global_range() const
  0.00      6.36     0.00        4     0.00     0.00  std::array<unsigned long, 3ul>::operator[](unsigned long) const
  0.00      6.36     0.00        4     0.00     0.00  _ZNSt10_Head_baseILm1EZZ4mainENKUlRN2cl4sycl7handlerEE_clES3_EUlNS1_7nd_itemILi1EEERT_E_Lb1EEC2IS9_EEOS7_
  0.00      6.36     0.00        4     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::shared_ptr<cl::sycl::detail::property_base>*>(std::shared_ptr<cl::sycl::detail::property_base>*, std::shared_ptr<cl::sycl::detail::property_base>*)
  0.00      6.36     0.00        4     0.00     0.00  std::__shared_ptr<cl::sycl::detail::context, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.00      6.36     0.00        4     0.00     0.00  _ZNSt14_Function_base13_Base_managerIZN2cl4sycl6detail28get_reduction_kernel_atomicsILb1ELi1EZZ4mainENKUlRNS2_7handlerEE_clES6_EUlNS2_7nd_itemILi1EEERT_E_NS3_14reduction_implILb0EjLi1ESt4plusIjEEEEEDaS6_T1_T2_RKNS2_5rangeIXT0_EEERKNS2_8nd_rangeIXT0_EEEEUlS9_E_E10_M_managerERSt9_Any_dataRKST_St18_Manager_operation
  0.00      6.36     0.00        4     0.00     0.00  std::__array_traits<unsigned long, 3ul>::_S_ref(unsigned long const (&) [3], unsigned long)
  0.00      6.36     0.00        4     0.00     0.00  std::back_insert_iterator<std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> > > std::__set_intersection<__gnu_cxx::__normal_iterator<cl::sycl::memory_scope*, std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> > >, __gnu_cxx::__normal_iterator<cl::sycl::memory_scope*, std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> > >, std::back_insert_iterator<std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<cl::sycl::memory_scope*, std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> > >, __gnu_cxx::__normal_iterator<cl::sycl::memory_scope*, std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> > >, __gnu_cxx::__normal_iterator<cl::sycl::memory_scope*, std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> > >, __gnu_cxx::__normal_iterator<cl::sycl::memory_scope*, std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> > >, std::back_insert_iterator<std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> > >, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      6.36     0.00        4     0.00     0.00  _ZZN2cl4sycl6detail28get_reduction_kernel_atomicsILb1ELi1EZZ4mainENKUlRNS0_7handlerEE_clES4_EUlNS0_7nd_itemILi1EEERT_E_NS1_14reduction_implILb0EjLi1ESt4plusIjEEEEEDaS4_T1_T2_RKNS0_5rangeIXT0_EEERKNS0_8nd_rangeIXT0_EEEENKUlS7_E_clES7_
  0.00      6.36     0.00        3     0.00     0.00  _ZN2cl4sycl7handler25process_functor_argumentsI21TotientReductionLocalIiEZNS0_6detail28get_reduction_kernel_atomicsILb1ELi1EZZ4mainENKUlRS1_E_clES7_EUlNS0_7nd_itemILi1EEERT_E_NS5_14reduction_implILb0EjLi1ESt4plusIjEEEEEDaS7_T1_T2_RKNS0_5rangeIXT0_EEERKNS0_8nd_rangeIXT0_EEEEUlSA_E_EEvRKT0_RNS0_6kernelEPNS5_29enqueue_device_kernel_commandE
  0.00      6.36     0.00        3     0.00     0.00  void __gnu_cxx::new_allocator<cl::sycl::memory_order>::construct<cl::sycl::memory_order, cl::sycl::memory_order>(cl::sycl::memory_order*, cl::sycl::memory_order&&)
  0.00      6.36     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<char>::deallocate(char*, unsigned long)
  0.00      6.36     0.00        3     0.00     0.00  cl::sycl::detail::accessor_buffer_interface<unsigned int, 1, (cl::sycl::access::mode)2, (cl::sycl::access::target)3, (cl::sycl::access::placeholder)0>::linear_offset_from_buffer() const
  0.00      6.36     0.00        3     0.00     0.00  std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> >::_S_max_size(std::allocator<cl::sycl::memory_scope> const&)
  0.00      6.36     0.00        3     0.00     0.00  std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> >::vector(std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> > const&)
  0.00      6.36     0.00        3     0.00     0.00  std::vector<int, std::allocator<int> >::data()
  0.00      6.36     0.00        3     0.00     0.01  std::vector<int, std::allocator<int> >::vector(unsigned long, std::allocator<int> const&)
  0.00      6.36     0.00        3     0.00     0.00  cl::sycl::memory_scope* std::uninitialized_copy<cl::sycl::memory_scope const*, cl::sycl::memory_scope*>(cl::sycl::memory_scope const*, cl::sycl::memory_scope const*, cl::sycl::memory_scope*)
  0.00      6.36     0.00        2     0.00     0.00  cl::sycl::buffer<int, 1, cl::sycl::detail::aligned_mem::aligned_allocator>::buffer<std::array<int, 1ul> const, void>(std::array<int, 1ul> const&, cl::sycl::property_list const&)
  0.00      6.36     0.00        2     0.00     2.66  cl::sycl::detail::aligned_mem::aligned_allocator::~aligned_allocator()
  0.00      6.36     0.00        2     0.00     0.00  cl::sycl::kernel::kernel(cl::sycl::kernel const&)
  0.00      6.36     0.00        2     0.00     0.00  cl::sycl::accessor<int, 1, (cl::sycl::access::mode)2, (cl::sycl::access::target)1, (cl::sycl::access::placeholder)0>::accessor<cl::sycl::detail::aligned_mem::aligned_allocator, int, void>(cl::sycl::buffer<int, 1, cl::sycl::detail::aligned_mem::aligned_allocator>&, cl::sycl::handler&, cl::sycl::property_list const&)
  0.00      6.36     0.00        2     0.00     0.00  cl::sycl::accessor<unsigned int, 1, (cl::sycl::access::mode)2, (cl::sycl::access::target)1, (cl::sycl::access::placeholder)0>::accessor<cl::sycl::detail::aligned_mem::aligned_allocator, unsigned int, void>(cl::sycl::buffer<unsigned int, 1, cl::sycl::detail::aligned_mem::aligned_allocator>&, cl::sycl::handler&, cl::sycl::property_list const&)
  0.00      6.36     0.00        2     0.00     0.00  void __gnu_cxx::new_allocator<cl::sycl::memory_scope>::construct<cl::sycl::memory_scope, cl::sycl::memory_scope>(cl::sycl::memory_scope*, cl::sycl::memory_scope&&)
  0.00      6.36     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<cl::sycl::memory_scope*, std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> > >::difference_type __gnu_cxx::operator-<cl::sycl::memory_scope*, std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> > >(__gnu_cxx::__normal_iterator<cl::sycl::memory_scope*, std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> > > const&, __gnu_cxx::__normal_iterator<cl::sycl::memory_scope*, std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> > > const&)
  0.00      6.36     0.00        2     0.00     0.00  cl::sycl::id<1>::operator cl::sycl::detail::index_array() const
  0.00      6.36     0.00        2     0.00     0.00  cl::sycl::range<1>::operator cl::sycl::detail::index_array() const
  0.00      6.36     0.00        2     0.00     0.00  cl::sycl::info::param_traits<cl::sycl::info::device, (cl::sycl::info::device)89>::return_type cl::sycl::device::get_info<(cl::sycl::info::device)89>() const
  0.00      6.36     0.00        2     0.00     0.00  cl::sycl::nd_item<1>::get_group_id() const
  0.00      6.36     0.00        2     0.00     0.00  cl::sycl::nd_item<1>::get_global_id(unsigned int) const
  0.00      6.36     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<cl::sycl::memory_scope*, std::vector<cl::sycl::memory_scope, std::allocator<cl::sycl::memory_scope> > >::operator-(long) const
  0.00      6.36     0.00        2     0.00     0.00  void std::_Destroy_aux<true>::__destroy<cl::sycl::memory_order*>(cl::sycl::memory_order*, cl::sycl::memory_order*)
  0.00      6.36     0.00        2     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_base(unsigned long, std::allocator<char> const&)
  0.00      6.36     0.00        2     0.00     0.00  std::_Function_base::_Base_manager<void cl::sycl::handler::parallel_for_impl<cl::sycl::detail::computeCppMagicEmptyKernel, cl::sycl::detail::computeCppMagicKernel(cl::sycl::queue&)::{lambda(cl::sycl::handler&)#1}::operator()(cl::sycl::handler&) const::{lambda(cl::sycl::item<1, true>)#1}, 1>(cl::sycl::detail::index_array const&, cl::sycl::detail::index_array, cl::sycl::detail::computeCppMagicKernel(cl::sycl::queue&)::{lambda(cl::sycl::handler&)#1}::operator()(cl::sycl::handler&) const::{lambda(cl::sycl::item<1, true>)#1})::{lambda(cl::sycl::detail::item_base&)#1}>::_M_get_pointer(std::_Any_data const&)
